5,10,15,20,25,30,35,40,45,50
1.391,214.735,2.435,6.685,4.371,4.211,6.387,33.616,7.448,7.34
16.899,1.357,5.231,3.599,4.423,4.347,3.455,7.484,7.676,7.392
3.722,14.845,4.363,3.423,4.311,4.315,3.423,7.468,7.38,7.854
33.839,4.059,5.145,2.283,4.375,4.355,3.459,7.352,7.348,7.484
1.478,5.292,12.341,2.339,4.491,4.475,3.479,7.408,7.296,14.274
6.894,3.564,3.319,2.435,9.094,7.178,10.801,7.332,15.335,7.04
208.956,1.355,14.33,2.331,13.813,6.361,4.415,14.754,7.18,7.39
0.395,3.435,4.365,2.307,3.635,3.415,4.367,11.473,7.168,7.404
0.395,1.41,8.959,11.449,3.399,3.363,4.191,7.026,7.016,7.292
0.396,209.38,2.463,3.323,3.379,3.379,4.255,6.884,7,11.667
3.128,1.444,,3.515,3.339,3.487,4.267,6.936,7.316,7.26
0.394,1.373,,3.283,3.283,7.718,9.298,6.784,7.028,7.268
0.395,1.432,,3.491,7.511,3.411,5.753,6.892,6.712,7.156
3.765,1.393,,3.283,3.443,3.451,4.287,14.425,6.872,7.04
0.392,,,10.841,3.047,5.133,4.171,6.812,6.804,6.972
,,,3.339,3.143,3.135,4.079,6.648,6.856,14.086
,,,3.291,3.235,3.375,4.247,6.892,15.748,7.276
,,,3.203,3.211,6.762,,6.8,7.26,
,,,,10.269,3.18,,6.772,,
