5,10,15,20,25,30,35,40,45,50
0.394,0.394,4.168,7.273,3.352,3.58,3.695,5.435,5.478,131.97
0.394,8.475,1.483,11.435,2.329,2.363,3.699,5.223,5.446,33.592
0.394,1.972,1.459,10.063,2.313,2.339,3.299,5.391,5.458,5.324
0.394,0.394,1.487,7.533,2.381,2.459,4.536,5.507,5.338,5.288
0.394,0.394,1.439,2.297,2.361,2.379,3.423,5.539,5.466,5.372
0.754,0.394,5.11,2.429,5.483,5.581,8.472,10.271,11.495,215.144
0.35,0.35,1.383,2.434,2.209,2.383,3.415,5.327,5.042,5.384
0.306,0.979,4.01,2.254,2.257,2.219,3.483,5.139,8.873,5.264
0.306,0.35,1.395,2.406,2.193,2.359,3.339,5.139,5.142,5.364
0.306,0.306,1.403,11.115,2.289,2.163,3.351,5.187,5.07,5.568
0.306,0.306,1.415,2.366,2.293,2.219,3.363,5.155,5.034,5.484
0.71,0.306,6.037,2.303,6.261,5.069,8.19,10.143,5.266,11.362
0.306,0.306,1.331,2.375,2.369,2.183,5.241,10.151,5.15,5.168
0.306,0.935,1.263,5.909,2.373,2.295,3.391,5.299,10.84,5.188
0.306,0.306,1.363,1.41,2.373,2.215,3.395,5.195,5.034,4.924
0.274,0.306,1.223,1.46,2.281,2.223,3.347,5.183,5.01,5
0.254,0.274,1.239,1.452,2.453,2.115,3.367,5.147,4.826,4.94
0.658,0.274,3.232,1.424,6.008,8.862,6.758,4.999,4.842,829.52
0.254,0.254,1.195,1.328,2.301,,,,4.562,5.454
