5,10,15,20,25,30,35,40,45,50
0.393,0.393,0.393,1.365,1.433,2.401,2.389,3.326,6.838,3.302
0.393,0.393,0.393,1.353,1.417,2.413,2.361,3.422,3.37,10.784
0.393,0.393,0.393,1.349,1.425,2.377,2.429,3.274,3.386,3.306
0.393,0.393,0.393,1.381,1.337,2.389,2.417,3.414,3.542,3.358
0.393,0.393,0.393,1.413,1.385,2.433,2.345,3.462,3.17,3.31
0.753,0.709,0.709,3.11,3.246,3.483,3.683,3.206,3.238,3.41
0.349,0.305,0.305,1.321,1.345,1.389,1.445,3.334,6.428,3.454
0.349,0.305,0.305,1.189,1.289,1.377,1.413,3.33,3.27,3.342
0.305,0.305,0.305,1.229,1.237,1.325,1.325,3.186,3.262,3.266
0.305,0.305,0.305,1.173,1.205,1.293,1.305,3.342,3.29,3.238
0.305,0.305,0.305,1.289,1.273,1.317,1.305,6.757,3.166,3.394
0.709,0.709,0.709,3.728,3.279,3.835,3.975,3.054,3.266,3.058
0.305,0.305,0.305,1.233,1.393,1.377,1.369,2.922,6.846,7.438
0.305,0.305,0.305,1.297,1.461,1.369,1.409,3.046,3.106,3.074
0.305,0.285,0.285,1.257,1.341,1.285,1.277,3.174,2.874,3.11
0.273,0.253,0.253,1.209,1.369,1.273,1.353,3.014,2.914,3.126
0.273,0.253,0.253,1.129,1.421,1.309,1.301,6.552,2.946,3.118
0.657,0.657,0.657,3.338,5.016,3.415,2.988,3.458,2.99,0
0.253,0.253,0.253,1.217,1.369,1.377,1.365,0,6.38,0
